keys,en
ui.new_game.title,Choose starting airport
ui.new_game.random,Random airport
ui.new_game.start,Start at selected airport
ui.new_game.search,Search airports
ui.new_game.no_results,No matching airports
ui.tab.city,City
ui.tab.market,Market
ui.tab.flights,Flights
ui.tab.inventory,Inventory
ui.tab.log,Travel Log
ui.tab.attribution,Sources
ui.ff.button,Skip to takeoff
ui.ff.confirm,Jump about {hours} game-hours to takeoff. Perishable goods will decay and market prices refresh. Confirm?
ui.ticket.economy,Economy ticket
ui.ticket.business,Business ticket (10x)
ui.ticket.refund,Refund ticket (30% fee)
ui.ticket.no_ticket,No valid ticket held
ui.boarding.title,Boarding in progress (cannot cancel)
ui.boarding.countdown,Boarding in {minutes} min
ui.notify.perishable_decay,Some goods are degrading — sell soon
ui.notify.boarding_soon,{flight} boards in 30 minutes
ui.notify.arrived,Arrived in {city} ({iata})
ui.notify.left_boarding,Missed boarding for {flight} — please book another ticket
ui.confirm.refund,Refund {flight}? A 30% fee will be charged; {amount} returned. This cannot be undone.
ui.confirm.purchase,Buy {qty}×{product} for {amount}?
ui.confirm.baggage_extend,Buy {type} baggage upgrade (+{kg}kg) for {amount}?
ui.confirm.quit,Quit the game? Unsaved progress will be lost.
ui.error.overweight,Baggage overweight: buy an upgrade or use cargo
ui.error.insufficient_funds,Not enough funds: need {need}, have {have}
ui.error.no_flights,No bookable scheduled flights from this airport
ui.error.max_baggage,Maximum baggage capacity reached
ui.error.expired_product,{product} has expired and cannot be sold
ui.error.already_boarding,Boarding is in progress; cannot do that now
ui.error.save_failed,Save failed: {reason}
ui.empty.inventory,Inventory is empty. Shop for local specialties at the market.
ui.empty.flights,No departing flights available
ui.empty.market,No products on sale in this market
ui.empty.log,No travels yet. Pick a starting airport to set off.
ui.empty.save,No save found
ui.settings.title,Settings
ui.settings.volume_master,Master volume
ui.settings.volume_bgm,Music
ui.settings.volume_sfx,Sound effects
ui.settings.back,Back
ui.baggage.title,Baggage
ui.baggage.weight_used,{used} / {max} kg used
ui.baggage.extend,Extend baggage capacity
ui.baggage.extend_light,Light +10kg ($70)
ui.baggage.extend_standard,Standard +20kg ($125)
ui.baggage.extend_heavy,Heavy +50kg ($280)
ui.save.auto,Auto-saving...
ui.save.complete,Saved
ui.save.manual,Save now
ui.save.load,Load save
ui.game.bankrupt,Out of funds — you're bankrupt. The trading trip ends here.
ui.game.start_new,New game
ui.game.stats,Trip stats
ui.game.total_cities,Cities visited
ui.game.total_profit,Total profit
ui.game.total_flights,Flights taken
ui.common.ok,OK
ui.common.cancel,Cancel
ui.common.back,Back
ui.common.close,Close
ui.common.price,Price
ui.common.qty,Qty
ui.common.total,Total
ui.common.buy,Buy
ui.common.sell,Sell
ui.common.loading,Loading...
ui.disclaimer,The flight network is reconstructed from public aviation data and does not represent real ticket information.
ui.notify.quality_decay,{product} quality dropped to {level} — sell soon.
